Dose,Setting,Grind,brew_mass_grams,total_dissolved_solids_percent,extraction_percent,pH,Liking,Temp,Flavor.intensity,Acidity,Mouthfeel,Tea.floral,Fruit,Citrus,Green.veg,Paper.wood,Burnt,Cereal,Nutty,Dark.chocolate,Caramel,Bitter,Astringent,Roasted,Sour,Thick.viscous,Sweet,Rubber,target_brew_temperature,target_total_dissolved_solids_percent,target_extraction_percent
176.1,4LG,3,2769.4,1.43,22.48859739,5.04,4,3,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93,1.5,24
176.1,1SM,5,2810.9,1.06,16.91967064,5.01,9,3,3,3,3,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,87,1.0,16
145.0,6LG,3,2906.3,1.0,20.04344828,5.08,9,3,3,3,3,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,87,1.0,20
119.0,4LG,3,2919.6,0.97,23.79842017,5.04,4,3,3,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,1.0,24
215.3,12LG,5,2791.8,1.31,16.98679981,4.97,8,3,3,3,3,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,87,1.25,16
176.1,12LG,3,2860.5,1.28,20.79182283,5.03,7,3,2,3,2,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,87,1.25,20
150.0,13SM,4,2844.5,1.295,24.55751667,5.0,9,3,3,3,3,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,87,1.25,24
252.7,5LG,5,2800.0,1.51,16.73130194,5.04,5,3,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87,1.5,16
207.6,5LG,3,2793.0,1.46,19.64248555,5.05,7,3,3,4,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,87,1.5,20
176.1,4LG,3,2790.4,1.38,21.86684838,5.0,7,3,4,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,87,1.5,24
176.1,6LG,5,2893.9,1.01,16.59760931,5.1,4,3,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,90,1.0,16
145.0,6LG,3,2867.1,1.07,21.15722069,5.12,7,3,2,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,90,1.0,20
121.1,14SM,3,2922.0,0.96,23.16366639,5.06,8,3,3,3,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,90,1.0,24
215.3,5SM,5,2836.4,1.26,16.59946122,5.02,5,3,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90,1.25,16
176.1,12LG,3,2831.1,1.31,21.06042589,5.1,4,3,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90,1.25,20
149.0,4LG,3,2857.7,1.295,24.83705705,5.04,9,3,3,3,3,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,90,1.25,24
252.7,5LG,5,2801.5,1.59,17.6271666,4.97,8,3,3,3,3,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,90,1.5,16
207.6,5LG,3,2772.3,1.52,20.29815029,5.01,9,3,4,3,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,90,1.5,20
176.1,4LG,3,2831.8,1.47,23.63853492,4.99,1,3,5,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,1.5,24
176.1,2SM,5,2790.5,1.02,16.16303237,5.05,9,3,3,3,3,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,93,1.0,16
140.3,3LG,3,2843.9,1.02,20.67553813,5.04,8,3,3,3,2,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,93,1.0,20
120.0,4LG,3,2827.2,1.055,24.8558,5.07,8,3,3,2,3,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,93,1.0,24
215.3,5SM,5,2751.3,1.32,16.86816535,5.04,7,3,3,3,3,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,93,1.25,16
176.1,1SM,3,2790.8,1.31,20.760636,4.98,9,3,3,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,93,1.25,20
150.0,14SM,3,2812.4,1.185,22.21796,5.06,9,3,3,3,3,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,93,1.25,24
265.0,6LG,5,2735.5,1.6,16.51622642,5.04,9,3,3,3,3,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,93,1.5,16
207.6,4SM,4,2729.9,1.51,19.85620906,5.07,8,3,3,3,3,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,93,1.5,20
176.1,4LG,3,2790.1,1.48,23.44888132,5.04,8,4,3,3,3,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,93,1.5,24
176.1,1SM,5,2829.1,1.05,16.86856899,5.05,4,4,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,87,1.0,16
