dose_grams,setting,grind,brew_mass_grams,total_dissolved_solids_percent,extraction_percent,ph,brew temperature,score,temp,flavor,acidity,body,tea_floral,fruit,citrus,green_veg,paper_wood,burnt,cereal,nutty,dark_chocolate,caramel,bitter,astringent,roasted,sour,thick_viscous,sweet,rubber
121.1,14SM,3,2922.0,0.96,23.163666,5.06,81.8,8,3,0.3,0.3,0.3,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False
215.3,5SM,5,2836.4,1.26,16.59946,5.02,82.6,5,3,0.3,0.3,0.3,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
176.1,12LG,3,2831.1,1.31,21.060427,5.1,82.5,4,3,0.0,0.5,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
149.0,4LG,3,2857.7,1.295,24.837057,5.04,82.0,9,3,0.3,0.3,0.3,False,False,True,False,True,True,True,True,True,False,False,False,True,False,True,False,True
252.7,5LG,5,2801.5,1.59,17.627167,4.97,80.2,8,3,0.3,0.3,0.3,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True
207.6,5LG,3,2772.3,1.52,20.298151,5.01,82.6,9,3,0.4,0.3,0.3,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
176.1,4LG,3,2831.8,1.47,23.638535,4.99,81.6,1,3,0.5,0.0,0.3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
176.1,2SM,5,2790.5,1.02,16.163033,5.05,86.4,9,3,0.3,0.3,0.3,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False
140.3,3LG,3,2843.9,1.02,20.675539,5.04,86.7,8,3,0.3,0.3,0.1,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
120.0,4LG,3,2827.2,1.055,24.8558,5.07,82.6,8,3,0.3,0.1,0.3,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False
215.3,5SM,5,2751.3,1.32,16.868166,5.04,84.8,7,3,0.3,0.3,0.3,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False
176.1,1SM,3,2790.8,1.31,20.760635,4.98,84.7,9,3,0.3,0.3,0.3,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
150.0,14SM,3,2812.4,1.185,22.21796,5.06,84.5,9,3,0.3,0.3,0.3,False,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False
265.0,6LG,5,2735.5,1.6,16.516226,5.04,84.8,9,3,0.3,0.3,0.3,False,False,False,False,True,False,True,True,True,True,False,True,True,False,True,False,False
207.6,4SM,4,2729.9,1.51,19.856209,5.07,84.7,8,3,0.3,0.3,0.3,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False
176.1,4LG,3,2790.1,1.48,23.448881,5.04,83.6,8,4,0.3,0.3,0.3,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False
176.1,1SM,5,2829.1,1.05,16.868568,5.05,81.1,4,4,0.4,0.3,0.3,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
145.0,6LG,3,2837.0,1.03,20.152483,5.1,81.3,8,4,0.3,0.3,0.4,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
119.0,4LG,3,2884.1,0.96,23.26669,5.11,78.6,8,3,0.1,0.3,0.3,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
215.3,12LG,5,2879.3,1.31,17.519196,5.05,80.3,4,4,0.4,0.5,0.3,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
176.1,12LG,3,2869.2,1.27,20.69213,5.02,80.8,4,3,0.4,0.4,0.3,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
150.0,13SM,4,2901.1,1.24,23.982428,5.08,79.7,7,3,0.1,0.3,0.3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
252.7,5LG,5,2790.5,1.48,16.343252,5.01,77.9,7,4,0.3,0.4,0.3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
207.6,5LG,3,2777.0,1.47,19.663729,5.1,77.8,8,3,0.3,0.3,0.3,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
176.1,4LG,3,2843.5,1.43,23.090319,4.98,78.7,7,3,0.3,0.3,0.4,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
176.1,6LG,5,2863.9,0.99,16.10029,5.07,80.2,8,4,0.1,0.4,0.3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
145.0,6LG,3,2872.8,1.04,20.60491,5.08,79.7,4,3,0.1,0.4,0.1,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False
121.1,14SM,3,2916.7,0.96,23.12165,5.07,82.7,8,3,0.3,0.3,0.3,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
215.3,5SM,5,2819.9,1.27,16.633873,5.05,82.1,3,5,0.0,0.4,0.4,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
176.1,12LG,3,2826.4,1.27,20.383465,5.08,79.6,8,3,0.3,0.1,0.3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
149.0,4LG,3,2861.9,1.26,24.201302,5.1,82.2,8,3,0.3,0.3,0.3,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
252.7,5LG,5,2782.1,1.59,17.5051,4.98,81.4,4,3,0.3,0.3,0.3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
207.6,5LG,3,2800.4,1.5,20.234104,5.04,82.6,7,4,0.3,0.4,0.3,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
176.1,4LG,3,2829.4,1.47,23.618502,5.03,81.1,8,3,0.3,0.3,0.3,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
176.1,2SM,5,2830.6,0.99,15.913083,5.04,85.8,4,4,0.3,0.3,0.3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
140.3,3LG,3,2860.3,1.02,20.79477,5.07,86.0,8,4,0.3,0.3,0.3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
120.0,4LG,3,2864.8,1.04,24.828266,5.07,83.3,8,4,0.3,0.3,0.3,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
215.3,5SM,5,2792.9,1.33,17.252935,5.06,81.8,8,2,0.3,0.1,0.3,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
